exp_index,definition,prompt_tag,final_label,source_exp_dir,wrong_kernel,gemini_kernel,qwen_kernel,qwen_vs_gemini_line_ratio,wrong_vs_gemini_line_ratio,wrong_vs_qwen_line_ratio,qwen_lines,gemini_lines,wrong_lines,qwen_bytes,gemini_bytes,wrong_bytes,qwen_has_cutensor_map,qwen_has_tma,qwen_has_mbarrier,qwen_has_wgmma,qwen_has_setmaxnreg,qwen_has_cuda_func_attr,qwen_has_atomic_float,qwen_has_float_atomicmax_call,qwen_has_cluster_tma,qwen_has_cta_tma,gemini_has_cutensor_map,gemini_has_tma,gemini_has_mbarrier,gemini_has_wgmma,gemini_has_setmaxnreg,gemini_has_cuda_func_attr,gemini_has_atomic_float,gemini_has_float_atomicmax_call,gemini_has_cluster_tma,gemini_has_cta_tma,reasoning_categories,reasoning_chars,assistant_code_chars
34,mha_with_lse_d128,hopper-09,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_012/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_046/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_034/kernel.cu,0.1642,0.1585,0.1415,359,445,489,16171,16873,20386,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,127129,79508
35,mha_with_lse_d128,hopper-09,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_012/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_048/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_035/kernel.cu,0.3858,0.1725,0.2088,336,426,258,13483,17397,10255,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,120425,67422
36,mha_with_lse_d128,hopper-09,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_013/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_050/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_036/kernel.cu,0.3329,0.3131,0.3859,377,410,561,16770,17112,24664,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,121693,77462
37,mha_with_lse_d128,hopper-09,runtime_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_013/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_052/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_037/kernel.cu,0.3915,0.4277,0.6149,351,359,319,14832,15583,13404,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,115750,75863
38,mha_with_lse_d128,hopper-09,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_013/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_053/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_038/kernel.cu,0.3906,0.3712,0.7614,362,365,384,15262,16724,16957,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,109059,78839
39,mha_with_lse_d128,hopper-09,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_015/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_060/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_039/kernel.cu,0.5687,0.6316,0.5749,358,384,376,15239,14984,15202,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,126545,75424
40,mha_with_lse_d128,hopper-09,numerical_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_015/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_060/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_040/kernel.cu,0.4494,0.5446,0.5803,396,454,376,15691,18242,15202,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,133603,77019
41,mha_with_lse_d128,hopper-014,compile_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_016/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_063/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_041/kernel.cu,0.1645,0.2534,0.2547,277,477,257,13201,18881,9829,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,93783,58631
42,mha_with_lse_d128,hopper-014,numerical_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_016/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_064/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_042/kernel.cu,0.3123,0.1416,0.3271,342,433,245,13729,17469,9203,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,122277,66930
43,mha_with_lse_d128,hopper-014,timeout,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_017/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_043/kernel.cu,0.2292,0.2429,0.4444,327,467,348,13908,18511,15689,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,128290,73314
44,mha_with_lse_d128,hopper-014,runtime_error,test-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_017/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_067/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_044/kernel.cu,0.4428,0.4068,0.6809,406,389,437,14367,14679,15765,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,114301,74064
45,mha_bwd_d128,hopper-no-hint,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_000/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_045/kernel.cu,0.2234,0.2201,0.6903,472,504,432,18911,21845,17779,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,58340,91353
46,mha_bwd_d128,hopper-no-hint,runtime_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_001/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_046/kernel.cu,0.2778,0.1527,0.1532,622,573,370,23896,21494,14939,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,59299,108158
47,mha_bwd_d128,hopper-no-hint,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_002/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_047/kernel.cu,0.2125,0.1145,0.331,464,590,388,20037,25000,15458,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,55702,87662
48,mha_bwd_d128,hopper-no-hint,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_002/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_007/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_048/kernel.cu,0.2619,0.2332,0.3625,433,552,400,19413,21500,17161,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,131119,91830
49,mha_bwd_d128,hopper-no-hint,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_002/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_009/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_049/kernel.cu,0.4824,0.5733,0.5363,398,485,415,15836,19604,17542,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,117660,79098
50,mha_bwd_d128,hopper-no-hint,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_003/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_011/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_050/kernel.cu,0.1741,0.1203,0.3589,273,531,184,12462,23076,7670,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,90947,61401
51,mha_bwd_d128,hopper-no-hint,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_003/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_011/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_051/kernel.cu,0.2476,0.1255,0.355,323,501,184,14619,22543,7670,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,95062,68554
52,mha_bwd_d128,hopper-no-hint,runtime_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_003/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_013/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_052/kernel.cu,0.2328,0.2067,0.3495,258,412,217,13613,18669,9024,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,111606,58154
53,mha_bwd_d128,hopper-010,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_004/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_017/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_053/kernel.cu,0.2812,0.2358,0.5298,544,530,547,23516,22717,23919,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,128426,115119
54,mha_bwd_d128,hopper-010,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_005/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_020/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_054/kernel.cu,0.1347,0.1032,0.1491,367,598,371,15813,24736,13152,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,94389,80838
55,mha_bwd_d128,hopper-010,numerical_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_006/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_021/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_055/kernel.cu,0.5114,0.5097,0.5682,350,440,435,15066,18876,19437,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,94733,82037
56,mha_bwd_d128,hopper-010,numerical_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_006/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_024/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_056/kernel.cu,0.5809,0.5757,0.6371,366,450,422,16346,18971,18117,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,142953,81570
57,mha_bwd_d128,hopper-010,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_057/kernel.cu,0.2597,0.3204,0.3369,491,464,441,20297,19429,19344,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,172944,97130
58,mha_bwd_d128,hopper-010,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_007/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_026/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_058/kernel.cu,0.3351,0.3323,0.3718,409,516,441,18207,21548,19344,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,45448,89302
59,mha_bwd_d128,hopper-011,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_008/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_030/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_059/kernel.cu,0.6028,0.797,0.6512,375,481,445,14114,19658,17478,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,89017,78982
60,mha_bwd_d128,hopper-011,runtime_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_008/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_031/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_060/kernel.cu,0.1791,0.1836,0.3073,258,557,445,10657,22611,17345,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,111329,66012
61,mha_bwd_d128,hopper-011,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_009/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_033/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_061/kernel.cu,0.2104,0.1561,0.238,333,513,230,14613,20933,8937,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,117046,79067
62,mha_bwd_d128,hopper-011,timeout,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_010/kernel_t3.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_038/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_062/kernel.cu,0.0966,0.3669,0.0731,360,655,735,17083,27065,29100,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,101957,84991
63,mha_bwd_d128,hopper-012,runtime_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_012/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_041/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_063/kernel.cu,0.248,0.2518,0.2428,262,496,751,10756,20992,32683,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,80866,109044
64,mha_bwd_d128,hopper-012,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_012/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_042/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_064/kernel.cu,0.3986,0.3505,0.3236,531,583,798,21559,23109,33227,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,27590,137335
65,mha_bwd_d128,hopper-012,numerical_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_013/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_045/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_065/kernel.cu,0.2811,0.1722,0.2498,556,554,445,23479,22603,16573,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,98269,120320
66,mha_bwd_d128,hopper-012,compile_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_015/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_054/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_066/kernel.cu,0.2847,0.3633,0.4774,680,409,648,29450,23546,27310,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,98217,155472
67,mha_bwd_d128,hopper-013,runtime_error,scale-d128-fixit-qwen36-27b-gemini,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_016/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_057/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-pair-notes-fixit/exp_067/kernel.cu,0.1717,0.1021,0.175,300,527,237,13628,22545,9052,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,wgmma_descriptor_layout;mbarrier_tma_sequence;tma_tensor_map_coords;softmax_lse_reduction;indexing_block_mapping;compile_symbol_patch;performance_timeout;minimal_change_fixation;uncertainty_or_guessing,105406,71121
