definition,workload,trajectory_id,turn,baseline_correctness,sft_correctness,baseline_correct,sft_correct,correct_delta,baseline_exp_dir,sft_exp_dir,baseline_prompt_tokens,sft_prompt_tokens,delta_prompt_tokens,baseline_completion_tokens,sft_completion_tokens,delta_completion_tokens,baseline_reasoning_tokens,sft_reasoning_tokens,delta_reasoning_tokens,baseline_reasoning_fraction,sft_reasoning_fraction,delta_reasoning_fraction,baseline_content_chars,sft_content_chars,delta_content_chars,baseline_pre_code_chars,sft_pre_code_chars,delta_pre_code_chars,baseline_code_chars,sft_code_chars,delta_code_chars,baseline_provider_visible_chars,sft_provider_visible_chars,delta_provider_visible_chars,baseline_feedback_chars,sft_feedback_chars,delta_feedback_chars
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,1,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,97553.0,26913.0,-70640.0,6914.0,25639.0,18725.0,141.0,16105.0,15964.0,0.020393404686144055,0.6281446234252506,0.6077512187391065,19521.0,24249.0,4728.0,166.0,2.0,-164.0,19345.0,24237.0,4892.0,19521.0,24249.0,4728.0,295.0,4801.0,4506.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,2,Numerical error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,104417.0,38004.0,-66413.0,6797.0,15742.0,8945.0,52.0,6247.0,6195.0,0.00765043401500662,0.39683648837504765,0.389186054360041,19464.0,23174.0,3710.0,164.0,2.0,-162.0,19290.0,23162.0,3872.0,19464.0,23174.0,3710.0,1238.0,3072.0,1834.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,3,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,111642.0,48479.0,-63163.0,13679.0,40147.0,26468.0,5608.0,28105.0,22497.0,0.40997148914394327,0.7000523077689491,0.29008081862500584,23534.0,30461.0,6927.0,401.0,2.0,-399.0,23123.0,30449.0,7326.0,23534.0,30461.0,6927.0,317.0,4865.0,4548.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,4,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,119827.0,61800.0,-58027.0,6585.0,21120.0,14535.0,49.0,11070.0,11021.0,0.007441154138192863,0.5241477272727273,0.5167065731345344,19324.0,24915.0,5591.0,137.0,2.0,-135.0,19177.0,24903.0,5726.0,19324.0,24915.0,5591.0,1431.0,1236.0,-195.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,5,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,126900.0,72231.0,-54669.0,14407.0,25622.0,11215.0,7447.0,15392.0,7945.0,0.5169015062122579,0.6007337444383732,0.0838322382261153,21392.0,25567.0,4175.0,425.0,2.0,-423.0,20957.0,25555.0,4598.0,21392.0,25567.0,4175.0,261.0,1809.0,1548.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,6,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,133965.0,83000.0,-50965.0,8337.0,25625.0,17288.0,1711.0,14960.0,13249.0,0.2052296989324697,0.5838048780487805,0.3785751791163108,19800.0,26365.0,6565.0,184.0,2.0,-182.0,19606.0,26353.0,6747.0,19800.0,26365.0,6565.0,1241.0,1928.0,687.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_007,7,Kernel Execution Timeout,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,141077.0,94257.0,-46820.0,8055.0,18855.0,10800.0,1610.0,8062.0,6452.0,0.19987585350713843,0.4275788915407054,0.22770303803356695,19067.0,26695.0,7628.0,290.0,2.0,-288.0,18767.0,26683.0,7916.0,19067.0,26695.0,7628.0,1109.0,1338.0,229.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,0,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28568.0,28568.0,0.0,45582.0,19993.0,-25589.0,3392.0,6704.0,3312.0,0.07441533938835505,0.3353173610763767,0.2609020216880217,128331.0,31750.0,-96581.0,879.0,2.0,-877.0,126609.0,31738.0,-94871.0,128331.0,31750.0,-96581.0,372.0,1012.0,640.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,1,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,70859.0,42138.0,-28721.0,6055.0,42811.0,36756.0,239.0,27726.0,27487.0,0.03947151114781173,0.6476372894816753,0.6081657783338635,17608.0,34753.0,17145.0,119.0,2.0,-117.0,17479.0,34741.0,17262.0,17608.0,34753.0,17145.0,259.0,689.0,430.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,2,Runtime error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,76779.0,57398.0,-19381.0,6078.0,34122.0,28044.0,274.0,18835.0,18561.0,0.04508061862454755,0.5519899185276361,0.5069092999030885,17482.0,34791.0,17309.0,126.0,2.0,-124.0,17346.0,34779.0,17433.0,17482.0,34791.0,17309.0,1108.0,1976.0,868.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,3,Kernel Execution Timeout,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,82980.0,73447.0,-9533.0,9978.0,47436.0,37458.0,2254.0,31655.0,29401.0,0.22589697334135098,0.6673201787671811,0.44142320542583013,22191.0,35653.0,13462.0,252.0,2.0,-250.0,21929.0,35641.0,13712.0,22191.0,35653.0,13462.0,2306.0,1976.0,-330.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,4,Runtime error,Extraction error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,91460.0,89989.0,-1471.0,7569.0,57545.0,49976.0,604.0,57545.0,56941.0,0.07979918086933545,1.0,0.9202008191306645,20741.0,0.0,-20741.0,222.0,0.0,-222.0,20509.0,0.0,-20509.0,20741.0,0.0,-20741.0,2269.0,174.0,-2095.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,5,Runtime error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,99186.0,90041.0,-9145.0,8736.0,54932.0,46196.0,1189.0,40355.0,39166.0,0.13610347985347984,0.734635549406539,0.5985320695530592,22059.0,33496.0,11437.0,273.0,2.0,-271.0,21776.0,33484.0,11708.0,22059.0,33496.0,11437.0,1819.0,2259.0,440.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,6,Runtime error,Kernel Execution Timeout,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,107361.0,105464.0,-1897.0,8076.0,30339.0,22263.0,1208.0,15616.0,14408.0,0.1495789995047053,0.5147170308843403,0.36513803137963496,20038.0,34042.0,14004.0,265.0,2.0,-263.0,19763.0,34030.0,14267.0,20038.0,34042.0,14004.0,1410.0,2220.0,810.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_008,7,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,114718.0,121016.0,6298.0,8458.0,26241.0,17783.0,1006.0,17567.0,16561.0,0.1189406479073067,0.6694485728440227,0.550507924936716,21131.0,24012.0,2881.0,332.0,2.0,-330.0,20789.0,24000.0,3211.0,21131.0,24012.0,2881.0,1668.0,336.0,-1332.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,0,Extraction error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28568.0,28568.0,0.0,81920.0,13330.0,-68590.0,81920.0,5830.0,-76090.0,1.0,0.4373593398349587,-0.5626406601650413,0.0,18990.0,18990.0,0.0,2.0,2.0,0.0,18978.0,18978.0,0.0,18990.0,18990.0,174.0,1864.0,1690.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,1,Kernel Execution Timeout,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28620.0,36621.0,8001.0,15364.0,31459.0,16095.0,9468.0,22859.0,13391.0,0.6162457693309034,0.726628309863632,0.11038254053272867,18954.0,21664.0,2710.0,2.0,2.0,0.0,18311.0,21652.0,3341.0,18954.0,21664.0,2710.0,1083.0,2125.0,1042.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,2,Other error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,34888.0,45845.0,10957.0,10085.0,23043.0,12958.0,4474.0,14693.0,10219.0,0.4436291522062469,0.6376339886299527,0.1940048364237058,16670.0,20704.0,4034.0,2.0,2.0,0.0,16658.0,20692.0,4034.0,16670.0,20704.0,4034.0,232.0,408.0,176.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,3,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,40564.0,54321.0,13757.0,16031.0,31264.0,15233.0,10744.0,23411.0,12667.0,0.6702014846235419,0.7488165301944729,0.07861504557093102,14709.0,19464.0,4755.0,2.0,2.0,0.0,14697.0,19452.0,4755.0,14709.0,19464.0,4755.0,1752.0,425.0,-1327.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,4,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,46485.0,62306.0,15821.0,11536.0,18665.0,7129.0,6645.0,7698.0,1053.0,0.5760228848821082,0.4124296812215376,-0.16359320366057056,14077.0,26647.0,12570.0,2.0,2.0,0.0,14065.0,26635.0,12570.0,14077.0,26647.0,12570.0,1868.0,383.0,-1485.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,52025.0,73432.0,21407.0,12330.0,18937.0,6607.0,6446.0,7633.0,1187.0,0.5227899432278994,0.40307334847124676,-0.11971659475665264,17156.0,27525.0,10369.0,2.0,2.0,0.0,17144.0,27513.0,10369.0,17156.0,27525.0,10369.0,1720.0,2864.0,1144.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,58532.0,85737.0,27205.0,14024.0,44452.0,30428.0,8553.0,30117.0,21564.0,0.6098830576155163,0.6775173220552506,0.0676342644397343,15248.0,35837.0,20589.0,2.0,2.0,0.0,15236.0,35825.0,20589.0,15248.0,35837.0,20589.0,1483.0,2903.0,1420.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_009,7,Runtime error,Numerical error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,64549.0,101087.0,36538.0,14244.0,25665.0,11421.0,8961.0,11667.0,2706.0,0.6291069924178602,0.45458796025715953,-0.17451903216070064,15001.0,35326.0,20325.0,2.0,2.0,0.0,14989.0,35314.0,20325.0,15001.0,35326.0,20325.0,1482.0,2187.0,705.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,0,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28568.0,28568.0,0.0,64683.0,48077.0,-16606.0,11052.0,37471.0,26419.0,0.17086406010852928,0.7793955529671153,0.608531492858586,160149.0,27032.0,-133117.0,179.0,2.0,-177.0,125430.0,27020.0,-98410.0,160149.0,27032.0,-133117.0,4020.0,10198.0,6178.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,1,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,83377.0,42047.0,-41330.0,11083.0,53952.0,42869.0,466.0,44552.0,44086.0,0.04204637733465668,0.8257710557532622,0.7837246784186055,30805.0,24093.0,-6712.0,262.0,2.0,-260.0,29845.0,24081.0,-5764.0,30805.0,24093.0,-6712.0,5605.0,325.0,-5280.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,2,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,95606.0,51536.0,-44070.0,10308.0,58904.0,48596.0,203.0,49188.0,48985.0,0.019693441986806365,0.8350536466114356,0.8153602046246292,29122.0,24482.0,-4640.0,152.0,2.0,-150.0,28960.0,24470.0,-4490.0,29122.0,24482.0,-4640.0,780.0,10197.0,9417.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,3,Kernel Execution Timeout,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,106033.0,63979.0,-42054.0,10283.0,24196.0,13913.0,127.0,14492.0,14365.0,0.01235048137703005,0.5989419738799802,0.5865914925029501,29403.0,24440.0,-4963.0,292.0,2.0,-290.0,29101.0,24428.0,-4673.0,29403.0,24440.0,-4963.0,1797.0,2080.0,283.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,4,Runtime error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,116757.0,74356.0,-42401.0,12067.0,28310.0,16243.0,682.0,19686.0,19004.0,0.056517775752051046,0.6953726598375133,0.6388548840854622,33506.0,22386.0,-11120.0,272.0,2.0,-270.0,33224.0,22374.0,-10850.0,33506.0,22386.0,-11120.0,2271.0,10197.0,7926.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,128863.0,86226.0,-42637.0,11840.0,23104.0,11264.0,757.0,14363.0,13606.0,0.06393581081081082,0.621667243767313,0.5577314329565022,32209.0,22484.0,-9725.0,342.0,2.0,-340.0,31857.0,22472.0,-9385.0,32209.0,22484.0,-9725.0,1781.0,1834.0,53.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,6,Kernel Execution Timeout,Numerical error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,140531.0,95576.0,-44955.0,14671.0,30312.0,15641.0,3141.0,21438.0,18297.0,0.21409583532138232,0.7072446555819477,0.4931488202605654,33693.0,23024.0,-10669.0,300.0,2.0,-298.0,33383.0,23012.0,-10371.0,33693.0,23024.0,-10669.0,1870.0,1105.0,-765.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_010,7,Compilation error,Numerical error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,152653.0,104898.0,-47755.0,12660.0,38705.0,26045.0,1070.0,30112.0,29042.0,0.08451816745655608,0.7779873401369332,0.6934691726803771,33602.0,22357.0,-11245.0,382.0,2.0,-380.0,33210.0,22345.0,-10865.0,33602.0,22357.0,-11245.0,2808.0,1104.0,-1704.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,0,Extraction error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28568.0,28568.0,0.0,81920.0,43403.0,-38517.0,81920.0,34366.0,-47554.0,1.0,0.7917885860424395,-0.2082114139575605,0.0,21700.0,21700.0,0.0,2.0,2.0,0.0,21688.0,21688.0,0.0,21700.0,21700.0,174.0,4378.0,4204.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,1,Other error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,28620.0,38727.0,10107.0,40756.0,36857.0,-3899.0,10028.0,28124.0,18096.0,0.24604966139954854,0.76305722115202,0.5170075597524715,92479.0,20897.0,-71582.0,719.0,2.0,-717.0,73742.0,20885.0,-52857.0,92479.0,20897.0,-71582.0,232.0,530.0,298.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,2,Numerical error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,59398.0,47643.0,-11755.0,6789.0,19998.0,13209.0,511.0,11167.0,10656.0,0.07526881720430108,0.5584058405840584,0.48313702337975734,18441.0,21168.0,2727.0,185.0,2.0,-183.0,18246.0,21156.0,2910.0,18441.0,21168.0,2727.0,1060.0,486.0,-574.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,3,Other error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,66067.0,56651.0,-9416.0,11192.0,47887.0,36695.0,2218.0,39010.0,36792.0,0.19817726947819872,0.8146260989412576,0.6164488294630589,26484.0,21135.0,-5349.0,459.0,2.0,-457.0,26015.0,21123.0,-4892.0,26484.0,21135.0,-5349.0,232.0,1957.0,1725.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,4,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,75106.0,66270.0,-8836.0,6497.0,30679.0,24182.0,597.0,21035.0,20438.0,0.09188856395259351,0.6856481632386975,0.593759599286104,16799.0,23113.0,6314.0,189.0,2.0,-187.0,16600.0,23101.0,6501.0,16799.0,23113.0,6314.0,1245.0,672.0,-573.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,5,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,81434.0,76109.0,-5325.0,6680.0,26838.0,20158.0,236.0,17295.0,17059.0,0.035329341317365266,0.6444220880840599,0.6090927467666946,18256.0,22693.0,4437.0,185.0,2.0,-183.0,18061.0,22681.0,4620.0,18256.0,22693.0,4437.0,201.0,3232.0,3031.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,6,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,87950.0,86793.0,-1157.0,5668.0,53094.0,47426.0,219.0,43411.0,43192.0,0.03863796753705011,0.8176253437299883,0.7789873761929382,14818.0,23010.0,8192.0,178.0,2.0,-176.0,14630.0,22998.0,8368.0,14818.0,23010.0,8192.0,263.0,1931.0,1668.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_011,7,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,93504.0,97204.0,3700.0,5594.0,30818.0,25224.0,58.0,17907.0,17849.0,0.010368251698248123,0.5810565254072295,0.5706882737089813,15002.0,30921.0,15919.0,135.0,2.0,-133.0,14857.0,30909.0,16052.0,15002.0,30921.0,15919.0,267.0,2379.0,2112.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,0,Numerical error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,27790.0,27790.0,0.0,24791.0,40172.0,15381.0,20455.0,30101.0,9646.0,0.8250978177564439,0.7493029971124167,-0.0757948206440272,13616.0,26000.0,12384.0,793.0,2.0,-791.0,12813.0,25988.0,13175.0,13616.0,26000.0,12384.0,1740.0,621.0,-1119.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,1,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,32810.0,38027.0,5217.0,19231.0,16887.0,-2344.0,7561.0,6393.0,-1168.0,0.3931672819926161,0.3785752353881684,-0.014592046604447684,32696.0,27104.0,-5592.0,2.0,2.0,0.0,32684.0,27092.0,-5592.0,32696.0,27104.0,-5592.0,522.0,1910.0,1388.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,2,Compilation error,Compilation error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,44640.0,49249.0,4609.0,12613.0,77875.0,65262.0,1363.0,66632.0,65269.0,0.10806310949020852,0.8556276083467095,0.747564498856501,33240.0,27847.0,-5393.0,2.0,2.0,0.0,33228.0,27835.0,-5393.0,33240.0,27847.0,-5393.0,1202.0,436.0,-766.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,3,Compilation error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,56196.0,60615.0,4419.0,10774.0,30822.0,20048.0,2040.0,19167.0,17127.0,0.189344718767403,0.6218610083706444,0.4325162896032414,25434.0,29224.0,3790.0,2.0,2.0,0.0,25422.0,29212.0,3790.0,25434.0,29224.0,3790.0,510.0,3026.0,2516.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,4,Kernel Execution Timeout,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,65081.0,73376.0,8295.0,8660.0,39948.0,31288.0,101.0,29928.0,29827.0,0.011662817551963049,0.7491739261039351,0.737511108551972,24864.0,25670.0,806.0,2.0,2.0,0.0,24852.0,25658.0,806.0,24864.0,25670.0,806.0,1613.0,2042.0,429.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,5,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,74275.0,84149.0,9874.0,13040.0,17396.0,4356.0,580.0,7126.0,6546.0,0.04447852760736196,0.4096343987123477,0.3651558711049857,37655.0,26372.0,-11283.0,265.0,2.0,-263.0,37380.0,26360.0,-11020.0,37655.0,26372.0,-11283.0,4167.0,1663.0,-2504.0
mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,exp_012,6,Runtime error,Runtime error,0,0,0,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,88234.0,95064.0,6830.0,8646.0,21770.0,13124.0,922.0,11484.0,10562.0,0.10663890816562573,0.5275149288011024,0.4208760206354767,23053.0,26374.0,3321.0,212.0,2.0,-210.0,22831.0,26362.0,3531.0,23053.0,26374.0,3321.0,1741.0,1663.0,-78.0
